,Genotypes,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
26,Doradillo,1.1226666666666667,10.333333333333334,38.0,102.66666666666667,235.01,176.92999999999998,17.94333333333333,18.966666666666665,18.05666666666667,0.7066666666666667,4.47,61.60666666666666,18.5,13.033333333333333,121.0,5.11,1.3333333333333333
27,E12/2,1.4733333333333334,10.666666666666666,30.0,110.0,69.71,157.73666666666665,13.5,14.5,21.689999999999998,0.6533333333333333,2.62,40.47666666666667,11.033333333333333,22.233333333333334,130.66666666666666,6.473333333333334,1.3333333333333333
28,E29/3 (BC XTS),0.8926666666666666,8.333333333333334,40.666666666666664,100.0,355.7,110.89999999999999,12.966666666666667,14.533333333333333,21.683333333333334,0.6133333333333333,6.63,57.11333333333334,17.400000000000002,27.133333333333336,116.33333333333333,0.0,1.3333333333333333
29,E4/15 IIHR Hybrid,1.3376666666666666,9.0,33.333333333333336,106.0,358.30333333333334,170.5,21.066666666666666,20.133333333333333,17.533333333333335,0.7466666666666666,4.486666666666667,66.03333333333333,7.900000000000001,26.566666666666666,121.33333333333333,4.55,2.0
30,Gaeganega,0.5063333333333334,13.333333333333334,35.0,103.0,461.9666666666667,79.37,14.5,15.5,17.28333333333333,0.6733333333333333,7.303333333333334,54.199999999999996,14.5,21.733333333333334,128.0,4.783333333333333,2.0
31,Goethe,0.9526666666666667,10.0,30.0,109.33333333333333,201.4766666666667,115.47666666666667,15.566666666666668,17.266666666666666,19.666666666666668,0.5333333333333333,4.41,54.46666666666667,9.266666666666666,13.333333333333334,138.0,6.6000000000000005,2.3333333333333335
32,Gold,2.0933333333333333,11.0,35.333333333333336,104.33333333333333,362.2633333333333,149.29999999999998,16.0,19.656666666666666,18.19,0.65,2.6533333333333333,67.7,19.62333333333333,30.5,144.33333333333334,5.25,1.6666666666666667
33,Golden Queen,0.7386666666666667,11.0,37.0,97.66666666666667,224.86,175.96666666666667,16.433333333333334,17.599999999999998,23.683333333333334,0.5933333333333334,4.463333333333334,71.66666666666667,14.266666666666666,20.3,121.66666666666667,5.0633333333333335,1.3333333333333333
34,Greaca,0.262,10.0,34.666666666666664,96.66666666666667,291.7133333333333,254.25,18.599999999999998,21.900000000000002,15.916666666666666,0.66,6.23,47.833333333333336,16.866666666666664,14.433333333333332,121.66666666666667,5.223333333333334,2.3333333333333335
35,Gulabi,0.3423333333333333,9.666666666666666,34.0,101.0,226.26666666666665,125.44,15.5,17.0,16.36,0.49666666666666665,3.4266666666666663,46.63333333333333,15.133333333333335,14.666666666666666,140.0,4.516666666666667,1.3333333333333333
36,H-27,0.5636666666666666,9.333333333333334,34.333333333333336,110.33333333333333,268.79,92.78333333333335,12.61,12.666666666666666,17.523333333333333,0.7533333333333333,5.43,56.699999999999996,16.400000000000002,31.066666666666666,138.33333333333334,6.463333333333334,1.3333333333333333
37,Khalili,2.509333333333333,12.666666666666666,31.0,101.33333333333333,248.57333333333335,206.54,15.5,17.900000000000002,17.566666666666666,0.7566666666666667,2.69,48.166666666666664,8.4,16.133333333333333,132.0,5.436666666666667,2.3333333333333335
38,Labrusca (FV),1.074,9.333333333333334,31.333333333333332,99.33333333333333,323.40000000000003,92.84333333333332,16.766666666666666,18.433333333333334,18.276666666666667,0.6533333333333333,8.523333333333333,40.4,13.466666666666669,21.3,124.0,7.5,1.6666666666666667
39,Leon Mellot,0.603,13.0,32.333333333333336,105.66666666666667,43.82666666666666,41.419999999999995,10.799999999999999,12.033333333333333,17.97666666666667,0.7466666666666667,9.313333333333333,54.5,6.2,4.8999999999999995,124.66666666666667,2.9133333333333336,1.6666666666666667
